날짜,중량,수온,성장량
2025-04-01,56.17,10.00,1.17
2025-04-08,57.47,10.69,1.30
2025-04-15,59.78,11.38,2.31
2025-04-22,63.00,12.07,3.22
2025-04-29,66.53,12.76,3.53
2025-05-06,71.01,13.45,4.48
2025-05-13,76.11,14.14,5.10
2025-05-20,81.17,14.83,5.06
2025-05-27,87.71,15.52,6.54
2025-06-03,94.57,16.21,6.86
2025-06-10,101.42,16.90,6.85
2025-06-17,108.79,17.59,7.37
2025-06-24,116.70,18.28,7.91
2025-07-01,124.60,18.97,7.90
2025-07-08,132.71,19.66,8.11
2025-07-15,140.55,20.34,7.84
2025-07-22,149.19,21.03,8.64
2025-07-29,157.73,21.72,8.54
2025-08-05,166.32,22.41,8.59
2025-08-12,174.22,23.10,7.90
2025-08-19,183.12,23.79,8.90
2025-08-26,191.33,24.48,8.21
2025-09-02,199.14,25.17,7.81
2025-09-09,207.53,25.86,8.39
2025-09-16,214.87,26.55,7.34
2025-09-23,221.35,27.24,6.48
2025-09-30,227.77,27.93,6.42
2025-10-07,233.06,28.62,5.29
2025-10-14,238.99,29.31,5.93
2025-10-21,243.82,30.00,4.83